country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",2025-11-18 17:00:00,28.563262,77.186937,0,61.0,160.0,88.0
India,Delhi,Delhi,"Rohini, Delhi - DPCC",2025-11-18 17:00:00,28.732528,77.11992,6,2.0,17.0,9.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2025-11-18 17:00:00,28.623763,77.287209,2,56.0,179.0,128.0
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",2025-11-18 17:00:00,28.623763,77.287209,1,8.0,14.0,12.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2025-11-18 17:00:00,28.674045,77.131023,3,2.0,129.0,78.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-11-18 17:00:00,28.611281,77.237738,1,14.0,22.0,18.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-11-18 17:00:00,28.611281,77.237738,0,14.0,151.0,53.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",2025-11-18 17:00:00,28.611281,77.237738,3,7.0,232.0,125.0
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",2025-11-18 17:00:00,28.6514781,77.1473105,3,6.0,40.0,27.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2025-11-18 17:00:00,28.5504249,77.2159377,2,40.0,60.0,52.0
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",2025-11-18 17:00:00,28.5504249,77.2159377,3,6.0,24.0,15.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-11-18 17:00:00,28.56789,77.250515,5,287.0,500.0,411.0
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2025-11-18 17:00:00,29.503664,75.467934,4,115.0,402.0,163.0
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",2025-11-18 17:00:00,29.503664,75.467934,2,18.0,20.0,19.0
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",2025-11-18 17:00:00,28.422681,77.148944,3,3.0,91.0,57.0
